x,y,z,qx,qy,qz,qw,tx,ty,tz,image
-3.783862829208374,0.38653627038002014,-4.912856101989746,-0.0041404020275002,-0.321148880930434,-0.038959099618266206,0.9462179674393816,-0.021880680259677595,-0.4928315755327398,6.193530507762127,20.jpg
-3.759434223175049,0.38916176557540894,-4.886057376861572,-0.0019024314327310585,-0.31996404235506976,-0.04003502577196311,0.9465815279551388,-0.011301782423861095,-0.5254965793985173,6.1548414118757915,30.jpg
-3.7297732830047607,0.3915681540966034,-4.82462215423584,0.0006508005738316495,-0.3192043888722022,-0.040922194719999284,0.9468017261088172,0.010554174288401334,-0.5607296500396178,6.084980262329903,40.jpg
-3.6867482662200928,0.3695432245731354,-4.718400478363037,0.0011423594507826906,-0.3195515417124557,-0.04274509712810973,0.9466035938425263,0.035723280981084106,-0.5505396667645712,5.97391057320256,50.jpg
-3.628830671310425,0.36514976620674133,-4.632648468017578,0.0023492065346997055,-0.3188886775399172,-0.043152857371334265,0.9468063811921577,0.04962141695095651,-0.5588608611755769,5.8692749997214575,60.jpg
-3.5389530658721924,0.36819207668304443,-4.520550727844238,0.0034712916852760347,-0.3191202987117043,-0.043225357398848106,0.9467215818612832,0.042774736530101984,-0.5692911205026545,5.724439772213764,70.jpg
-3.4952921867370605,0.351939857006073,-4.437617778778076,0.004880424152516333,-0.3201699434388039,-0.04363281312114708,0.9463422036439143,0.04642191767075911,-0.5671629349832656,5.631123589919026,80.jpg
-3.457507610321045,0.353941410779953,-4.356154918670654,0.0063025804358883795,-0.32103372991094914,-0.042781541742844105,0.9460799973709507,0.05646941511278577,-0.5787843640684799,5.542340508158709,90.jpg
-3.2092630863189697,0.3190946877002716,-4.030043601989746,0.008664297329386153,-0.3263817782034868,-0.046748914135809214,0.9440415265419423,-0.0015809202852147268,-0.5620174487839661,5.13094294928868,120.jpg
-3.135413408279419,0.3174121379852295,-3.9310967922210693,0.010593440491224734,-0.3283586624002686,-0.04924974515629273,0.9432087947253808,-0.022302684579666956,-0.5803248471880526,5.004779291609947,130.jpg
-3.1232824325561523,0.3274367153644562,-3.914778232574463,0.011715012876143769,-0.33192547488514196,-0.04907350780994979,0.9419554280467901,-0.06018050838357879,-0.5976730641361191,4.982646102064492,140.jpg
-2.9117050170898438,0.3017672002315521,-3.60012149810791,0.013794749739178078,-0.33576903881504555,-0.05291712154583586,0.9403555900297276,-0.06705216955685692,-0.5821816018972978,4.602883115848747,160.jpg
-2.8031888008117676,0.28373295068740845,-3.468966484069824,0.014202369236490759,-0.3358101631847318,-0.05128842785410284,0.9404250763235574,-0.0645282630617434,-0.5524478827141478,4.434268447369431,170.jpg
-2.736333131790161,0.28321361541748047,-3.3481979370117188,0.013743486753975092,-0.33486673161704583,-0.04973953679222248,0.9408514054342778,-0.029131386495014046,-0.538051262054005,4.299745305874799,180.jpg
-2.6522607803344727,0.259280800819397,-3.199430465698242,0.012430979073746764,-0.3354199751751561,-0.047373291052534294,0.940794707844181,-0.00038803110249032254,-0.4897265230679815,4.135001425790577,190.jpg
-2.577432155609131,0.2573539614677429,-3.083787202835083,0.009517717769089383,-0.33379850006901096,-0.045220937067958045,0.94151104149173,0.03128061756452026,-0.45427564538211107,4.0014729502416015,200.jpg
-2.477263927459717,0.24161678552627563,-2.9329400062561035,0.008764978481980776,-0.33235714611870115,-0.04284824264580015,0.9421390187643273,0.06381793510697263,-0.42003875917109734,3.8231985245908366,210.jpg
-2.4153714179992676,0.2378130555152893,-2.7986035346984863,0.008850081945743524,-0.33093435962804274,-0.041393935163798176,0.9427039131131185,0.11264742008567627,-0.40963865531986265,3.679981443030312,220.jpg
-2.3481361865997314,0.21620221436023712,-2.6551308631896973,0.007744462475388112,-0.33157383457728756,-0.039534638628656596,0.9425687390706221,0.14823128260906154,-0.3717151250687701,3.5284646349478153,230.jpg
-2.289720058441162,0.2092546969652176,-2.54746675491333,0.006785524387893038,-0.32971160993626963,-0.037862638211460777,0.9432977427936964,0.1853982117260392,-0.3514465937868715,3.4085635314893477,240.jpg
-2.2074544429779053,0.19512037932872772,-2.4302289485931396,0.005926630650835128,-0.32711038899238337,-0.03595884774342981,0.9442831300681724,0.21449336021668172,-0.3231007372265941,3.2659666752263288,250.jpg
-2.139279365539551,0.18924428522586823,-2.3079397678375244,0.0069347447650261055,-0.3233760729035826,-0.034793901861634134,0.9456052078863271,0.2624924013215603,-0.31746593276284607,3.1255765607679344,260.jpg
